1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.021679	0.000000	0.159965	0.004362	13.8
1	-0.024941	0.000000	0.159965	0.003603	4.3
2	-0.022415	0.000000	0.159965	0.001866	4.8
3	-0.021419	0.000000	0.159965	0.001036	4.5
4	-0.025277	0.000000	0.159965	0.002291	4.3
5	-0.022637	1.000000	0.155547	0.005166	4.0
6	-0.021303	0.200000	0.159054	0.001930	4.4
7	-0.024303	1.200000	0.154702	0.004890	4.0
8	-0.022125	2.200000	0.150652	0.003219	4.6
9	-0.026018	1.400000	0.153869	0.004266	4.2
10	-0.024969	0.600000	0.157275	0.003010	4.2
11	-0.024261	0.000000	0.159965	0.001820	4.9
12	-0.021912	0.000000	0.159965	0.001638	5.1
13	-0.021456	0.000000	0.159965	0.003389	5.0
14	-0.023228	0.000000	0.159965	0.002972	4.6
15	-0.021913	0.000000	0.159965	0.001619	4.2
16	-0.024781	0.000000	0.159965	0.002182	4.7
17	-0.023528	0.000000	0.159965	0.001497	4.0
18	-0.026952	1.000000	0.155547	0.003227	4.4
19	-0.022947	0.200000	0.159054	0.002351	4.0
20	-0.022935	0.000000	0.159965	0.002808	5.7
21	-0.022302	0.000000	0.159965	0.002671	4.1
22	-0.022978	0.000000	0.159965	0.002130	4.4
23	-0.025140	0.000000	0.159965	0.002553	5.2
24	-0.024974	0.656285	0.157028	0.003446	3.9
25	-0.020788	0.000000	0.159965	0.002735	3.8
26	-0.024865	0.000000	0.159965	0.002702	3.6
27	-0.026375	0.000000	0.159965	0.003118	4.1
28	-0.022184	0.000000	0.159965	0.002408	4.3
29	-0.025153	0.000000	0.159965	0.001238	3.8
30	-0.023672	0.000000	0.159965	0.001998	4.9
31	-0.024277	0.000000	0.159965	0.003568	4.0
32	-0.022081	0.000000	0.159965	0.001455	4.3
33	-0.021815	0.000000	0.159965	0.003589	3.4
34	-0.022746	0.000000	0.159965	0.002796	4.3
35	-0.023496	0.000000	0.159965	0.002880	3.8
36	-0.022126	0.000000	0.159965	0.001963	3.7
37	-0.023134	0.000000	0.159965	0.002911	4.1
38	-0.022251	0.000000	0.159965	0.002812	3.8
39	-0.022705	0.000000	0.159965	0.003677	3.7
40	-0.024819	1.000000	0.155547	0.002694	3.5
41	-0.021253	0.200000	0.159054	0.003503	3.5
42	-0.022778	0.000000	0.159965	0.002880	3.5
43	-0.024185	0.000000	0.159965	0.002752	3.6
44	-0.021697	0.000000	0.159965	0.001337	3.7
45	-0.022532	0.000000	0.159965	0.001375	4.6
46	-0.023530	1.000000	0.155547	0.002945	4.3
47	-0.023289	0.200000	0.159054	0.004600	3.9
48	-0.022333	0.000000	0.159965	0.003363	3.6
49	-0.021873	0.000000	0.159965	0.003302	3.3
50	-0.024215	0.000000	0.159965	0.002891	3.5
51	-0.021398	0.000000	0.159965	0.003204	4.1
52	-0.023449	1.000000	0.155547	0.000994	4.0
53	-0.024925	2.000000	0.151440	0.001361	3.6
54	-0.027475	1.200001	0.154702	0.002739	3.9
55	-0.021986	0.400001	0.158158	0.002144	3.8
56	-0.021305	0.000000	0.159965	0.003118	4.1
57	-0.023935	1.000000	0.155547	0.002681	4.9
58	-0.025501	0.200000	0.159054	0.002148	3.6
59	-0.024622	0.000000	0.159965	0.004109	4.0
60	-0.023081	0.000000	0.159965	0.003572	4.2
61	-0.022216	0.000000	0.159965	0.002891	4.2
62	-0.023376	0.000000	0.159965	0.003162	3.5
63	-0.021112	1.000000	0.155547	0.001655	4.0
64	-0.024921	2.000000	0.151440	0.001299	3.6
65	-0.021327	1.200000	0.154702	0.004845	3.7
66	-0.022434	2.198477	0.150658	0.002220	3.8
67	-0.026715	3.198477	0.146879	0.003272	4.8
68	-0.019797	2.398477	0.149882	0.001427	4.0
69	-0.023135	1.598477	0.153054	0.002199	3.6
70	-0.023213	0.798477	0.156411	0.002249	4.0
71	-0.021153	0.000000	0.159965	0.004165	4.2
72	-0.021821	0.000000	0.159965	0.001918	4.0
73	-0.025241	0.000000	0.159965	0.001422	2.9
74	-0.021429	0.999994	0.155547	0.004138	3.9
75	-0.023093	0.199994	0.159054	0.003205	4.0
76	-0.020384	0.000000	0.159965	0.002287	2.9
77	-0.021377	1.000000	0.155547	0.001832	2.8
78	-0.022582	2.000000	0.151440	0.003688	2.8
79	-0.025893	1.200000	0.154702	0.003448	2.8
80	-0.026455	2.200000	0.150652	0.006403	2.9
81	-0.020336	1.400000	0.153869	0.001293	3.0
82	-0.022164	0.600000	0.157275	0.002302	3.7
83	-0.022925	0.000000	0.159965	0.001483	3.7
84	-0.023699	0.000000	0.159965	0.001515	3.7
85	-0.022295	0.000000	0.159965	0.001846	3.8
86	-0.022210	0.000000	0.159965	0.002359	3.2
87	-0.020912	0.000000	0.159965	0.002057	2.8
88	-0.022384	1.000000	0.155547	0.002333	3.0
89	-0.024402	0.200000	0.159054	0.002930	4.0
90	-0.023807	0.000000	0.159965	0.003185	3.8
91	-0.021368	0.000000	0.159965	0.001840	3.2
92	-0.021717	0.000000	0.159965	0.001684	2.8
93	-0.022583	0.000000	0.159965	0.002298	3.2
94	-0.020319	1.000000	0.155547	0.004374	3.1
95	-0.023292	2.000000	0.151440	0.002421	3.1
96	-0.024671	3.000000	0.147609	0.003419	3.3
97	-0.021185	2.200000	0.150652	0.004358	3.8
98	-0.021795	1.400000	0.153869	0.002757	3.8
99	-0.024122	0.600000	0.157275	0.002651	3.9
100	-0.021846	0.000000	0.159965	0.002080	3.9
101	-0.021608	0.000000	0.159965	0.002157	3.8
102	-0.024404	0.000000	0.159965	0.003967	4.0
103	-0.021524	1.000000	0.155547	0.004246	3.8
104	-0.022712	0.200000	0.159054	0.003373	3.6
105	-0.024468	1.200000	0.154702	0.003293	3.3
106	-0.023846	0.400000	0.158158	0.002408	3.3
107	-0.023125	0.000000	0.159965	0.001086	3.1
108	-0.020622	1.000000	0.155547	0.003018	3.1
109	-0.022510	0.200000	0.159054	0.003324	3.0
110	-0.022688	0.000000	0.159965	0.001286	2.8
111	-0.021324	0.000000	0.159965	0.001720	2.8
112	-0.024957	0.000000	0.159965	0.004666	2.7
113	-0.024497	0.000000	0.159965	0.002135	2.8
114	-0.020498	0.000000	0.159965	0.002165	2.9
115	-0.022314	0.000000	0.159965	0.004647	3.3
116	-0.022348	0.000000	0.159965	0.002064	3.8
117	-0.021741	0.000000	0.159965	0.003857	3.4
118	-0.024140	0.000000	0.159965	0.002188	3.0
119	-0.021583	0.000000	0.159965	0.002098	3.5
120	-0.022940	0.000000	0.159965	0.003226	2.6
121	-0.022895	0.000000	0.159965	0.002181	2.7
122	-0.022306	0.000000	0.159965	0.001138	2.5
123	-0.022826	0.815397	0.156338	0.003963	2.9
124	-0.021524	0.015397	0.159894	0.000797	3.1
125	-0.025397	0.000000	0.159965	0.003849	3.6
126	-0.021379	0.000000	0.159965	0.003387	3.5
127	-0.023886	0.000000	0.159965	0.002791	3.2
128	-0.022898	0.000000	0.159965	0.002833	3.1
129	-0.023561	0.000000	0.159965	0.002313	3.1
130	-0.021612	1.000000	0.155547	0.001758	3.3
131	-0.020171	0.200000	0.159054	0.002420	3.7
132	-0.024286	0.000000	0.159965	0.001885	2.7
133	-0.025108	1.000000	0.155547	0.002052	2.7
134	-0.023808	0.200000	0.159054	0.001251	2.7
135	-0.024569	0.000000	0.159965	0.002148	2.7
136	-0.023544	0.000000	0.159965	0.003725	2.7
137	-0.021658	1.000000	0.155547	0.001799	2.6
138	-0.023159	0.200000	0.159054	0.001910	2.6
139	-0.024263	0.000000	0.159965	0.003281	2.5
140	-0.026461	0.000000	0.159965	0.004492	2.6
141	-0.022462	0.000000	0.159965	0.002915	3.0
142	-0.023218	0.000000	0.159965	0.003415	3.1
143	-0.025199	0.000000	0.159965	0.004242	3.0
144	-0.022621	0.000000	0.159965	0.005200	2.6
145	-0.021671	1.000000	0.155547	0.003985	2.6
146	-0.022621	2.000000	0.151440	0.001008	2.6
147	-0.022827	3.000000	0.147609	0.003420	3.0
148	-0.021734	2.200000	0.150652	0.001740	3.4
149	-0.020379	1.400000	0.153869	0.003792	2.9
150	-0.023629	0.600000	0.157275	0.002857	3.8
151	-0.019579	0.000000	0.159965	0.001407	3.7
152	-0.023048	0.000000	0.159965	0.003995	3.5
153	-0.024527	1.000000	0.155547	0.001035	3.6
154	-0.022202	0.200000	0.159054	0.002152	3.5
155	-0.022206	0.315778	0.158534	0.001868	2.9
156	-0.020015	1.315778	0.154218	0.001439	2.8
157	-0.022386	2.315778	0.150202	0.002723	3.8
158	-0.025999	1.515778	0.153392	0.002139	3.4
159	-0.022542	0.715778	0.156769	0.003151	2.7
160	-0.022716	1.198911	0.154706	0.003663	2.7
161	-0.022703	0.398911	0.158163	0.003974	3.5
162	-0.023453	0.000000	0.159965	0.002150	3.4
163	-0.027646	0.000000	0.159965	0.003063	3.6
164	-0.023446	1.000000	0.155547	0.004332	2.8
165	-0.023394	2.000000	0.151440	0.003795	3.0
166	-0.021592	1.200000	0.154702	0.003314	3.8
167	-0.021985	2.200000	0.150652	0.004079	3.5
168	-0.023701	3.200000	0.146873	0.002840	3.5
169	-0.023943	4.200000	0.143337	0.001230	3.4
170	-0.024407	3.400000	0.146147	0.002727	3.4
171	-0.021069	2.600000	0.149110	0.002017	3.6
172	-0.021434	3.600000	0.145431	0.003148	4.0
173	-0.021700	2.800000	0.148354	0.001696	3.9
174	-0.021396	2.000000	0.151440	0.003501	3.2
175	-0.024153	1.200000	0.154702	0.003176	4.0
176	-0.021185	0.400000	0.158158	0.003562	3.7
177	-0.023806	0.000000	0.159965	0.002470	3.7
178	-0.024045	1.000000	0.155547	0.002182	3.4
