1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.011742	0.000000	0.159965	0.000803	20.9
1	-1.011314	0.000000	0.159965	0.000860	16.1
2	-1.011578	0.000000	0.159965	0.000886	12.2
3	-1.011532	0.000000	0.159965	0.000728	32.6
4	-1.011670	0.000000	0.159965	0.000841	16.2
5	-1.011202	0.000000	0.159965	0.000740	20.9
6	-1.011529	0.000000	0.159965	0.000882	12.8
7	-1.011349	0.000000	0.159965	0.000848	12.2
8	-1.011259	0.000000	0.159965	0.000841	12.2
9	-1.011486	0.000000	0.159965	0.000799	12.2
10	-1.011080	0.000000	0.159965	0.000649	10.9
11	-1.010931	0.000000	0.159965	0.000659	11.0
12	-1.010876	0.000000	0.159965	0.000769	11.0
13	-1.011753	0.000000	0.159965	0.000902	11.1
14	-1.011382	0.000000	0.159965	0.000918	11.2
15	-1.010720	0.000000	0.159965	0.000998	11.0
16	-1.010521	0.000000	0.159965	0.000846	11.3
17	-1.011737	0.000000	0.159965	0.000973	11.2
18	-1.011504	0.000000	0.159965	0.000745	11.2
19	-1.011451	0.000000	0.159965	0.000728	11.2
20	-1.011895	0.000000	0.159965	0.000909	11.1
21	-1.010743	0.000000	0.159965	0.000800	11.1
22	-1.011451	0.000000	0.159965	0.000790	11.2
23	-1.011807	0.000000	0.159965	0.000965	11.3
24	-1.011121	0.000000	0.159965	0.000637	11.3
25	-1.011109	0.000000	0.159965	0.001078	11.3
26	-1.011702	0.000000	0.159965	0.000862	11.3
27	-1.011661	0.000000	0.159965	0.001017	11.3
28	-1.011292	0.000000	0.159965	0.001011	11.2
29	-1.010579	0.000000	0.159965	0.000896	11.3
30	-1.011583	0.000000	0.159965	0.000845	11.3
31	-1.011385	0.000000	0.159965	0.000894	11.3
32	-1.010685	0.000000	0.159965	0.000796	11.2
33	-1.011893	0.000000	0.159965	0.000957	11.3
34	-1.011419	0.000000	0.159965	0.000875	11.2
35	-1.011955	0.000000	0.159965	0.000995	11.3
36	-1.011611	0.000000	0.159965	0.000834	11.3
37	-1.011342	0.000000	0.159965	0.000848	11.3
38	-1.011841	0.000000	0.159965	0.001031	11.2
39	-1.011072	0.000000	0.159965	0.000765	11.2
40	-1.010808	0.000000	0.159965	0.000820	11.2
41	-1.010762	0.000000	0.159965	0.000902	11.1
42	-1.011063	0.000000	0.159965	0.000963	11.3
43	-1.011491	0.000000	0.159965	0.000954	11.2
44	-1.011618	0.000000	0.159965	0.000919	11.3
45	-1.010923	0.000000	0.159965	0.000887	11.2
46	-1.011111	0.000000	0.159965	0.001059	11.2
47	-1.011555	0.000000	0.159965	0.001026	11.3
48	-1.011167	0.000000	0.159965	0.000668	11.3
49	-1.011631	0.000000	0.159965	0.001088	11.3
50	-1.011077	0.000000	0.159965	0.000812	11.2
51	-1.011543	0.000000	0.159965	0.000962	11.3
52	-1.010965	0.000000	0.159965	0.000951	11.3
53	-1.012320	0.000000	0.159965	0.000887	11.3
54	-1.011762	0.000000	0.159965	0.000765	11.3
55	-1.011366	0.000000	0.159965	0.000787	11.2
56	-1.011052	0.000000	0.159965	0.001092	11.3
57	-1.012291	0.000000	0.159965	0.000808	11.3
58	-1.011226	0.000000	0.159965	0.000918	11.2
59	-1.011273	0.000000	0.159965	0.001006	11.2
60	-1.011980	0.000000	0.159965	0.000843	11.2
61	-1.011324	0.000000	0.159965	0.000814	11.2
62	-1.011022	0.000000	0.159965	0.000826	11.3
63	-1.011915	0.000000	0.159965	0.000958	11.3
64	-1.011113	0.000000	0.159965	0.000789	11.2
65	-1.011292	0.000000	0.159965	0.000937	11.2
66	-1.011045	0.000000	0.159965	0.000673	11.3
67	-1.011010	0.000000	0.159965	0.000913	11.4
68	-1.011181	0.000000	0.159965	0.000817	11.2
69	-1.011857	0.000000	0.159965	0.000874	11.2
70	-1.011850	0.000000	0.159965	0.001137	11.2
71	-1.011170	0.000000	0.159965	0.000848	11.3
72	-1.011349	0.000000	0.159965	0.000893	11.1
73	-1.011077	0.000000	0.159965	0.001082	11.2
74	-1.010911	0.000000	0.159965	0.000935	11.2
75	-1.012131	0.000000	0.159965	0.000776	11.3
76	-1.011787	0.000000	0.159965	0.000782	11.3
