1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.011086	0.000000	0.159965	0.000850	95.0
1	-1.011550	0.000000	0.159965	0.000748	26.1
2	-1.010289	0.000000	0.159965	0.000828	23.1
3	-1.011033	0.000000	0.159965	0.001107	24.0
4	-1.010956	0.000000	0.159965	0.000625	22.6
5	-1.010481	0.000000	0.159965	0.000819	22.8
6	-1.010735	0.000000	0.159965	0.000718	23.7
7	-1.012026	0.000000	0.159965	0.000855	23.8
8	-1.011251	0.000000	0.159965	0.000588	22.1
9	-1.010156	0.000000	0.159965	0.000813	21.9
10	-1.011127	0.000000	0.159965	0.000740	22.3
11	-1.010001	0.000000	0.159965	0.000707	29.4
12	-1.010528	0.000000	0.159965	0.000668	23.2
13	-1.010296	0.000000	0.159965	0.000578	22.3
14	-1.011490	0.000000	0.159965	0.000973	22.2
15	-1.010633	0.000000	0.159965	0.000794	22.2
16	-1.010330	0.000000	0.159965	0.000842	21.2
17	-1.010960	0.000000	0.159965	0.000604	21.8
18	-1.010860	0.000000	0.159965	0.000751	22.4
19	-1.011042	0.000000	0.159965	0.001047	20.9
20	-1.010559	0.000000	0.159965	0.001027	19.4
21	-1.010642	0.000000	0.159965	0.000613	19.6
22	-1.009813	0.000000	0.159965	0.000791	22.3
23	-1.011022	0.000000	0.159965	0.000630	22.0
24	-1.010783	0.000000	0.159965	0.000568	21.8
25	-1.010687	0.000000	0.159965	0.000564	21.6
26	-1.011036	0.000000	0.159965	0.000521	21.8
27	-1.009683	0.000000	0.159965	0.000860	21.3
28	-1.011299	0.000000	0.159965	0.000925	21.7
29	-1.011231	0.000000	0.159965	0.000606	21.8
30	-1.010922	0.000000	0.159965	0.001034	21.6
31	-1.011037	0.000000	0.159965	0.000806	21.7
32	-1.010850	0.000000	0.159965	0.000825	21.6
33	-1.009005	0.000000	0.159965	0.001159	21.5
34	-1.011631	0.000000	0.159965	0.001108	21.8
35	-1.011713	0.000000	0.159965	0.001204	21.9
36	-1.010712	0.000000	0.159965	0.000815	22.1
37	-1.010868	0.000000	0.159965	0.000821	22.0
38	-1.009954	0.000000	0.159965	0.000647	21.9
39	-1.011079	0.000000	0.159965	0.000899	22.0
40	-1.010265	0.000000	0.159965	0.001034	21.8
41	-1.010772	0.000000	0.159965	0.001111	22.1
42	-1.010444	0.000000	0.159965	0.000512	22.1
43	-1.010891	0.000000	0.159965	0.000546	22.0
44	-1.011275	0.000000	0.159965	0.000866	22.5
45	-1.010495	0.000000	0.159965	0.000715	21.3
46	-1.010397	0.000000	0.159965	0.000707	19.2
47	-1.010970	0.000000	0.159965	0.000852	18.5
48	-1.011169	0.000000	0.159965	0.000900	17.8
49	-1.010916	0.000000	0.159965	0.001006	17.9
50	-1.011125	0.000000	0.159965	0.001019	18.0
51	-1.011166	0.000000	0.159965	0.001026	17.5
52	-1.011163	0.000000	0.159965	0.000638	17.1
53	-1.011117	0.000000	0.159965	0.000904	17.0
54	-1.010937	0.000000	0.159965	0.001123	16.6
55	-1.011735	0.000000	0.159965	0.000719	17.0
56	-1.010620	0.000000	0.159965	0.000798	16.9
57	-1.010504	0.000000	0.159965	0.000833	16.9
58	-1.010796	0.000000	0.159965	0.000866	16.9
59	-1.011279	0.000000	0.159965	0.000784	17.1
60	-1.010723	0.000000	0.159965	0.000820	17.4
61	-1.010636	0.000000	0.159965	0.000768	17.5
62	-1.011595	0.000000	0.159965	0.000679	17.2
63	-1.011207	0.000000	0.159965	0.000926	18.1
