1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.063179	0.000000	0.159965	0.006930	9.3
1	-0.066277	0.000000	0.159965	0.008386	3.2
2	-0.065609	0.000000	0.159965	0.005538	3.4
3	-0.067295	0.000000	0.159965	0.004601	3.7
4	-0.063705	0.000000	0.159965	0.005125	3.5
5	-0.068911	0.000000	0.159965	0.004089	3.6
6	-0.064644	0.000000	0.159965	0.008182	3.8
7	-0.063648	0.000000	0.159965	0.004592	4.4
8	-0.062065	0.000000	0.159965	0.003927	3.8
9	-0.066300	0.000000	0.159965	0.008454	3.6
10	-0.064550	0.000000	0.159965	0.007236	3.0
11	-0.066701	0.000000	0.159965	0.004093	2.7
12	-0.060590	0.000000	0.159965	0.003994	3.5
13	-0.057651	0.000000	0.159965	0.007638	2.9
14	-0.064624	1.000000	0.155547	0.007999	2.9
15	-0.058258	0.200000	0.159054	0.004531	2.7
16	-0.062908	0.000000	0.159965	0.004414	3.0
17	-0.065687	0.000000	0.159965	0.004601	3.2
18	-0.064564	0.000000	0.159965	0.006348	3.4
19	-0.068315	0.000000	0.159965	0.008160	3.4
20	-0.063965	0.000000	0.159965	0.007742	4.2
21	-0.068940	0.000000	0.159965	0.005685	2.7
22	-0.065064	0.000000	0.159965	0.005344	2.5
23	-0.065434	0.000000	0.159965	0.003483	2.6
24	-0.061312	0.000000	0.159965	0.005191	3.0
25	-0.064334	0.000000	0.159965	0.004567	3.6
26	-0.067361	0.000000	0.159965	0.005293	2.4
27	-0.068535	0.000000	0.159965	0.006958	2.4
28	-0.063364	0.000000	0.159965	0.004643	3.0
29	-0.066422	0.000000	0.159965	0.004947	2.3
30	-0.066611	0.000000	0.159965	0.004086	2.7
31	-0.062737	0.000000	0.159965	0.005437	3.0
32	-0.068414	0.000000	0.159965	0.009570	2.6
33	-0.065103	0.000000	0.159965	0.009411	3.4
34	-0.063233	0.000000	0.159965	0.003603	2.6
35	-0.065421	0.000000	0.159965	0.006906	2.7
36	-0.063760	0.000000	0.159965	0.005977	3.8
37	-0.067682	0.000000	0.159965	0.003460	3.8
38	-0.065080	0.000000	0.159965	0.002626	2.9
39	-0.063845	0.000000	0.159965	0.004226	3.4
40	-0.063160	0.000000	0.159965	0.005130	2.6
41	-0.064147	0.000000	0.159965	0.007959	2.8
42	-0.067597	0.000000	0.159965	0.004775	3.2
43	-0.063556	0.000000	0.159965	0.004673	2.7
44	-0.068358	0.000000	0.159965	0.005336	4.0
45	-0.063374	0.000000	0.159965	0.006048	3.1
46	-0.063104	0.000000	0.159965	0.009938	3.3
47	-0.062083	0.000000	0.159965	0.006600	4.7
48	-0.066593	0.000000	0.159965	0.004621	4.0
49	-0.067962	0.000000	0.159965	0.004075	3.3
50	-0.065134	0.000000	0.159965	0.006755	4.0
51	-0.062672	0.000000	0.159965	0.005228	2.6
52	-0.062167	0.000000	0.159965	0.007076	2.4
53	-0.060322	0.000000	0.159965	0.006179	2.5
54	-0.065817	0.000000	0.159965	0.003345	3.0
55	-0.069292	0.000000	0.159965	0.007174	3.3
56	-0.066889	0.000000	0.159965	0.004561	2.7
57	-0.071467	0.000000	0.159965	0.004721	2.7
58	-0.067266	1.000000	0.155547	0.006642	3.0
59	-0.066603	0.200000	0.159054	0.005160	3.0
60	-0.067214	0.000000	0.159965	0.007714	3.9
61	-0.064907	0.000000	0.159965	0.006718	3.6
62	-0.063082	0.000000	0.159965	0.005564	3.1
63	-0.061662	0.000000	0.159965	0.007146	3.4
64	-0.064984	0.000000	0.159965	0.009419	3.8
65	-0.064306	0.000000	0.159965	0.007634	3.4
66	-0.065245	0.000000	0.159965	0.006424	2.9
67	-0.064692	0.000000	0.159965	0.005713	3.4
68	-0.067105	0.000000	0.159965	0.006985	2.9
69	-0.062651	0.000000	0.159965	0.004223	3.1
70	-0.065251	0.000000	0.159965	0.005673	3.3
71	-0.066596	0.000000	0.159965	0.003869	3.9
72	-0.063424	0.000000	0.159965	0.003998	2.9
73	-0.064805	0.000000	0.159965	0.004707	3.2
74	-0.067460	0.000000	0.159965	0.005599	2.9
75	-0.064585	0.000000	0.159965	0.006066	4.1
76	-0.067367	0.000000	0.159965	0.005987	3.9
77	-0.064903	0.000000	0.159965	0.006455	3.1
78	-0.066785	0.000000	0.159965	0.003851	2.7
79	-0.062718	0.000000	0.159965	0.006540	2.9
80	-0.061707	0.000000	0.159965	0.003814	3.9
81	-0.066936	0.000000	0.159965	0.009733	2.7
82	-0.063284	0.000000	0.159965	0.002431	3.0
83	-0.062379	0.000000	0.159965	0.003386	2.4
84	-0.067327	0.000000	0.159965	0.006883	2.3
85	-0.063475	0.000000	0.159965	0.005729	3.3
86	-0.062862	0.000000	0.159965	0.005037	3.7
87	-0.068763	0.000000	0.159965	0.004046	2.9
88	-0.068692	0.000000	0.159965	0.003509	2.7
89	-0.068442	0.000000	0.159965	0.003540	2.6
90	-0.063302	0.000000	0.159965	0.004409	2.6
91	-0.066332	0.000000	0.159965	0.003766	3.8
92	-0.066347	0.000000	0.159965	0.007230	3.4
93	-0.066170	0.000000	0.159965	0.005788	3.2
94	-0.065380	0.000000	0.159965	0.005531	2.6
95	-0.065932	0.000000	0.159965	0.005851	4.3
96	-0.070819	0.000000	0.159965	0.008631	2.9
97	-0.065697	0.000000	0.159965	0.007067	3.2
98	-0.064297	0.000000	0.159965	0.003928	3.9
99	-0.066169	0.000000	0.159965	0.006709	3.1
100	-0.064075	0.000000	0.159965	0.007265	3.4
101	-0.067100	0.000000	0.159965	0.006197	3.9
102	-0.063056	0.000000	0.159965	0.003626	3.9
103	-0.066252	0.000000	0.159965	0.006708	2.6
104	-0.063573	0.000000	0.159965	0.005025	3.3
105	-0.063522	0.000000	0.159965	0.004153	2.9
106	-0.064157	0.000000	0.159965	0.005052	2.9
107	-0.060230	0.000000	0.159965	0.005594	3.4
108	-0.064611	0.000000	0.159965	0.006674	3.0
109	-0.063664	0.000000	0.159965	0.003721	3.1
110	-0.058595	0.000000	0.159965	0.008103	2.6
111	-0.065224	0.000000	0.159965	0.010411	2.3
112	-0.065880	0.000000	0.159965	0.004557	3.0
113	-0.068528	0.000000	0.159965	0.005656	3.2
114	-0.063969	0.000000	0.159965	0.002435	3.7
115	-0.066591	0.000000	0.159965	0.003573	2.6
116	-0.068400	0.000000	0.159965	0.004844	3.6
117	-0.067489	0.000000	0.159965	0.009621	2.9
118	-0.065291	0.000000	0.159965	0.005222	2.9
119	-0.065153	0.000000	0.159965	0.007712	3.0
120	-0.067481	0.000000	0.159965	0.006794	2.9
121	-0.070443	0.000000	0.159965	0.008608	3.3
122	-0.067622	0.000000	0.159965	0.004144	3.1
123	-0.065696	0.000000	0.159965	0.004221	3.5
124	-0.063648	0.000000	0.159965	0.002447	3.0
125	-0.071613	0.000000	0.159965	0.010867	3.2
126	-0.062492	0.000000	0.159965	0.006246	2.7
127	-0.064236	0.000000	0.159965	0.007489	3.6
128	-0.065932	0.000000	0.159965	0.008214	3.0
129	-0.062957	0.000000	0.159965	0.007006	3.2
130	-0.062391	0.000000	0.159965	0.005585	3.2
131	-0.061987	0.000000	0.159965	0.004772	3.2
132	-0.061844	0.000000	0.159965	0.002189	3.1
133	-0.065207	0.000000	0.159965	0.004516	3.6
134	-0.064392	0.000000	0.159965	0.005039	3.1
135	-0.068345	0.000000	0.159965	0.005250	2.8
136	-0.065148	0.000000	0.159965	0.006093	2.9
137	-0.064955	0.000000	0.159965	0.006541	3.0
138	-0.063619	0.000000	0.159965	0.005362	2.6
139	-0.068551	0.000000	0.159965	0.004649	2.8
140	-0.065677	0.000000	0.159965	0.002920	2.9
141	-0.061034	0.000000	0.159965	0.003952	3.0
142	-0.063894	0.000000	0.159965	0.003178	3.1
143	-0.072641	0.000000	0.159965	0.006370	2.8
144	-0.064486	0.000000	0.159965	0.008337	2.8
145	-0.066391	0.000000	0.159965	0.005038	3.0
146	-0.066905	0.000000	0.159965	0.004974	3.6
147	-0.065599	0.000000	0.159965	0.007449	3.1
148	-0.061483	0.000000	0.159965	0.003071	2.9
149	-0.064725	0.000000	0.159965	0.004717	3.6
150	-0.067121	0.000000	0.159965	0.003312	3.4
151	-0.062687	0.000000	0.159965	0.007015	3.0
152	-0.063951	0.000000	0.159965	0.006430	3.4
153	-0.062911	0.000000	0.159965	0.006309	3.0
154	-0.062872	0.000000	0.159965	0.002849	3.3
155	-0.064381	0.000000	0.159965	0.005996	3.8
156	-0.060603	0.000000	0.159965	0.007683	3.6
157	-0.062910	0.000000	0.159965	0.005371	3.1
158	-0.063154	0.000000	0.159965	0.004987	3.1
159	-0.061478	0.000000	0.159965	0.005689	2.7
160	-0.066181	0.000000	0.159965	0.008066	2.5
161	-0.064682	0.000000	0.159965	0.007743	3.2
162	-0.066771	0.000000	0.159965	0.010006	3.2
163	-0.065107	0.000000	0.159965	0.007982	3.8
164	-0.071294	0.000000	0.159965	0.007543	3.0
165	-0.065859	0.000000	0.159965	0.002820	3.1
166	-0.064940	0.000000	0.159965	0.007630	3.4
167	-0.062130	0.000000	0.159965	0.008842	2.7
168	-0.063438	0.000000	0.159965	0.002925	2.6
169	-0.064989	0.000000	0.159965	0.005378	2.8
170	-0.068155	0.000000	0.159965	0.004581	3.4
171	-0.066413	0.000000	0.159965	0.003763	2.7
172	-0.062142	0.000000	0.159965	0.004006	3.3
173	-0.068689	0.000000	0.159965	0.006634	3.2
174	-0.070747	0.000000	0.159965	0.008640	3.1
175	-0.064052	0.000000	0.159965	0.005407	3.4
176	-0.067380	0.000000	0.159965	0.003060	2.9
177	-0.069530	0.000000	0.159965	0.005649	2.6
178	-0.066673	0.000000	0.159965	0.003286	3.7
179	-0.063722	0.000000	0.159965	0.003973	3.4
180	-0.062080	0.000000	0.159965	0.008974	3.0
181	-0.064171	0.000000	0.159965	0.005377	3.2
182	-0.070345	0.000000	0.159965	0.006903	2.8
183	-0.069259	0.000000	0.159965	0.003272	3.7
184	-0.064149	0.000000	0.159965	0.007904	3.7
185	-0.061012	0.000000	0.159965	0.004896	2.7
186	-0.068021	0.000000	0.159965	0.004474	2.6
187	-0.061451	0.000000	0.159965	0.002905	2.5
188	-0.067045	0.000000	0.159965	0.006346	2.4
189	-0.066975	0.000000	0.159965	0.010487	2.7
190	-0.063253	0.000000	0.159965	0.006662	3.4
191	-0.062931	0.000000	0.159965	0.004528	2.8
192	-0.064899	0.000000	0.159965	0.002840	2.7
193	-0.064816	0.000000	0.159965	0.008161	2.4
194	-0.069453	0.000000	0.159965	0.003988	2.5
195	-0.061815	0.000000	0.159965	0.007131	2.6
196	-0.069239	0.000000	0.159965	0.005132	2.5
197	-0.065036	0.000000	0.159965	0.004560	2.9
198	-0.068068	0.000000	0.159965	0.006973	3.3
199	-0.061642	0.000000	0.159965	0.009317	3.1
200	-0.068425	0.000000	0.159965	0.004615	3.1
201	-0.065336	0.000000	0.159965	0.006095	3.8
202	-0.065054	0.000000	0.159965	0.003419	2.7
