1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.017058	0.000000	0.159965	0.001075	55.3
1	-1.017281	0.000000	0.159965	0.000851	22.4
2	-1.017849	0.000000	0.159965	0.001045	20.6
3	-1.017497	0.000000	0.159965	0.001254	20.6
4	-1.017161	0.000000	0.159965	0.001129	20.7
5	-1.017268	0.000000	0.159965	0.000818	20.6
6	-1.017184	0.000000	0.159965	0.000790	20.8
7	-1.017073	0.000000	0.159965	0.001141	20.9
8	-1.017328	0.000000	0.159965	0.000912	21.0
9	-1.016968	0.000000	0.159965	0.001362	21.3
10	-1.017496	0.000000	0.159965	0.000990	20.6
11	-1.016944	0.000000	0.159965	0.001293	21.4
12	-1.017501	0.000000	0.159965	0.001429	21.5
13	-1.017833	0.000000	0.159965	0.001080	21.2
14	-1.017410	0.000000	0.159965	0.000940	21.0
15	-1.017211	0.000000	0.159965	0.001139	20.8
16	-1.017106	0.000000	0.159965	0.000886	20.4
17	-1.017409	0.000000	0.159965	0.000841	20.5
18	-1.017691	0.000000	0.159965	0.000874	20.2
19	-1.016978	0.000000	0.159965	0.000992	20.1
20	-1.017676	0.000000	0.159965	0.001341	20.2
21	-1.017599	0.000000	0.159965	0.001028	20.2
22	-1.017634	0.000000	0.159965	0.000971	20.2
23	-1.017233	0.000000	0.159965	0.000866	20.1
24	-1.017322	0.000000	0.159965	0.001129	20.1
25	-1.017229	0.000000	0.159965	0.001257	20.1
26	-1.017310	0.000000	0.159965	0.001056	20.2
27	-1.016804	0.000000	0.159965	0.001047	20.4
28	-1.017153	0.000000	0.159965	0.000981	20.3
29	-1.017439	0.000000	0.159965	0.000933	20.3
30	-1.017297	0.000000	0.159965	0.000919	20.2
31	-1.017457	0.000000	0.159965	0.000998	20.5
32	-1.017091	0.000000	0.159965	0.000925	20.6
33	-1.017722	0.000000	0.159965	0.001065	20.3
34	-1.016741	0.000000	0.159965	0.000943	20.3
35	-1.017284	0.000000	0.159965	0.001048	20.1
36	-1.017461	0.000000	0.159965	0.000797	20.1
37	-1.017125	0.000000	0.159965	0.001222	20.2
38	-1.016878	0.000000	0.159965	0.000971	20.3
39	-1.016937	0.000000	0.159965	0.001070	20.4
40	-1.017107	0.000000	0.159965	0.000749	20.4
41	-1.017692	0.000000	0.159965	0.001062	20.2
42	-1.017664	0.000000	0.159965	0.000909	20.3
43	-1.016792	0.000000	0.159965	0.001284	20.3
44	-1.016986	0.000000	0.159965	0.000953	20.2
45	-1.017491	0.000000	0.159965	0.000982	20.4
46	-1.017450	0.000000	0.159965	0.000649	20.1
47	-1.017199	0.000000	0.159965	0.000900	20.1
48	-1.017533	0.000000	0.159965	0.000964	20.1
49	-1.017199	0.000000	0.159965	0.000939	20.3
50	-1.017475	0.000000	0.159965	0.001212	20.1
51	-1.017202	0.000000	0.159965	0.000885	20.3
52	-1.017380	0.000000	0.159965	0.001087	20.1
53	-1.017401	0.000000	0.159965	0.001133	20.4
54	-1.017294	0.000000	0.159965	0.001300	20.2
55	-1.017342	0.000000	0.159965	0.001208	20.3
56	-1.016841	0.000000	0.159965	0.000966	20.2
57	-1.017286	0.000000	0.159965	0.000902	20.4
58	-1.017129	0.000000	0.159965	0.001033	20.2
59	-1.017467	0.000000	0.159965	0.001206	20.1
60	-1.017508	0.000000	0.159965	0.001152	20.2
61	-1.017054	0.000000	0.159965	0.000983	20.6
62	-1.017262	0.000000	0.159965	0.001383	20.6
63	-1.017155	0.000000	0.159965	0.001283	20.6
64	-1.017469	0.000000	0.159965	0.001399	20.2
65	-1.017539	0.000000	0.159965	0.001629	20.1
66	-1.016688	0.000000	0.159965	0.001232	20.4
67	-1.016946	0.000000	0.159965	0.000913	20.4
68	-1.017241	0.000000	0.159965	0.001034	20.3
69	-1.017414	0.000000	0.159965	0.001202	20.2
70	-1.017585	0.000000	0.159965	0.000937	20.1
71	-1.017073	0.000000	0.159965	0.000719	20.3
72	-1.017208	0.000000	0.159965	0.001041	20.1
73	-1.016985	0.000000	0.159965	0.000736	20.2
74	-1.017345	0.000000	0.159965	0.001069	20.1
75	-1.017729	0.000000	0.159965	0.000823	20.2
76	-1.017270	0.000000	0.159965	0.001087	20.2
77	-1.017836	0.000000	0.159965	0.001137	20.6
78	-1.017373	0.000000	0.159965	0.000966	20.6
79	-1.017713	0.000000	0.159965	0.001120	20.3
80	-1.017581	0.000000	0.159965	0.001055	20.3
81	-1.017575	0.000000	0.159965	0.000928	20.2
82	-1.016686	0.000000	0.159965	0.001105	20.2
83	-1.017752	0.000000	0.159965	0.000895	20.2
84	-1.017697	0.000000	0.159965	0.000689	20.1
85	-1.017034	0.000000	0.159965	0.001025	20.1
86	-1.017092	0.000000	0.159965	0.001027	20.2
87	-1.017382	0.000000	0.159965	0.000920	20.1
88	-1.017832	0.000000	0.159965	0.000844	20.1
89	-1.017421	0.000000	0.159965	0.001010	20.2
90	-1.017532	0.000000	0.159965	0.001268	20.1
91	-1.017317	0.000000	0.159965	0.001154	20.5
92	-1.017797	0.000000	0.159965	0.000901	20.3
93	-1.017931	0.000000	0.159965	0.001226	20.2
94	-1.017799	0.000000	0.159965	0.001137	20.2
95	-1.017265	0.000000	0.159965	0.001318	20.1
96	-1.017111	0.000000	0.159965	0.000883	20.1
97	-1.017457	0.000000	0.159965	0.000818	20.2
98	-1.017278	0.000000	0.159965	0.001247	20.2
99	-1.017607	0.000000	0.159965	0.001083	20.7
100	-1.016873	0.000000	0.159965	0.000929	20.7
101	-1.017332	0.000000	0.159965	0.001006	20.2
102	-1.017301	0.000000	0.159965	0.000776	20.2
103	-1.017004	0.000000	0.159965	0.000928	20.6
104	-1.017532	0.000000	0.159965	0.001205	20.5
105	-1.017549	0.000000	0.159965	0.001385	20.5
106	-1.017136	0.000000	0.159965	0.000947	20.4
107	-1.017916	0.000000	0.159965	0.000750	20.2
108	-1.016886	0.000000	0.159965	0.001209	20.1
109	-1.017352	0.000000	0.159965	0.001466	20.1
110	-1.017414	0.000000	0.159965	0.001117	20.1
111	-1.017145	0.000000	0.159965	0.001066	20.1
112	-1.017278	0.000000	0.159965	0.000920	20.3
113	-1.017552	0.000000	0.159965	0.001027	20.7
114	-1.017187	0.000000	0.159965	0.001311	20.1
115	-1.016941	0.000000	0.159965	0.001111	20.2
116	-1.017128	0.000000	0.159965	0.001020	20.6
117	-1.017305	0.000000	0.159965	0.000813	20.2
118	-1.017324	0.000000	0.159965	0.001281	20.3
119	-1.016894	0.000000	0.159965	0.000924	20.2
120	-1.017467	0.000000	0.159965	0.001026	20.0
121	-1.017020	0.000000	0.159965	0.001030	20.4
122	-1.016700	0.000000	0.159965	0.000876	20.4
123	-1.016915	0.000000	0.159965	0.000938	20.5
124	-1.017403	0.000000	0.159965	0.001071	20.4
125	-1.017092	0.000000	0.159965	0.001113	20.4
126	-1.017026	0.000000	0.159965	0.001011	20.0
127	-1.017187	0.000000	0.159965	0.001279	20.3
128	-1.017242	0.000000	0.159965	0.000667	20.5
129	-1.017559	0.000000	0.159965	0.000987	20.1
130	-1.017760	0.000000	0.159965	0.001435	20.2
131	-1.017037	0.000000	0.159965	0.001010	20.6
132	-1.017458	0.000000	0.159965	0.001165	20.2
133	-1.017475	0.000000	0.159965	0.001073	20.2
134	-1.017547	0.000000	0.159965	0.001560	20.2
135	-1.017642	0.000000	0.159965	0.000869	20.3
136	-1.017887	0.000000	0.159965	0.000925	20.2
137	-1.017586	0.000000	0.159965	0.000898	20.2
138	-1.017004	0.000000	0.159965	0.000833	20.9
139	-1.017195	0.000000	0.159965	0.000737	20.7
140	-1.017757	0.000000	0.159965	0.000776	21.2
141	-1.017630	0.000000	0.159965	0.001310	20.6
142	-1.017280	0.000000	0.159965	0.000903	20.9
143	-1.017779	0.000000	0.159965	0.000881	20.1
144	-1.017047	0.000000	0.159965	0.001151	20.2
145	-1.017950	0.000000	0.159965	0.000967	20.2
146	-1.017420	0.000000	0.159965	0.000799	20.5
147	-1.017571	0.000000	0.159965	0.000781	20.2
148	-1.017537	0.000000	0.159965	0.000896	20.4
149	-1.017401	0.000000	0.159965	0.001163	20.8
150	-1.017346	0.000000	0.159965	0.000779	20.7
151	-1.017213	0.000000	0.159965	0.001391	20.3
152	-1.016880	0.000000	0.159965	0.000998	20.2
153	-1.016671	0.000000	0.159965	0.001207	20.4
154	-1.017166	0.000000	0.159965	0.000735	20.7
155	-1.016504	0.000000	0.159965	0.001330	20.2
156	-1.017674	0.000000	0.159965	0.000929	20.4
157	-1.017538	0.000000	0.159965	0.001088	20.2
158	-1.017082	0.000000	0.159965	0.000881	20.4
159	-1.017540	0.000000	0.159965	0.001118	20.5
160	-1.017532	0.000000	0.159965	0.001359	20.6
161	-1.017445	0.000000	0.159965	0.001046	20.4
162	-1.017872	0.000000	0.159965	0.000758	20.4
163	-1.016869	0.000000	0.159965	0.001044	20.1
164	-1.017209	0.000000	0.159965	0.001148	20.2
165	-1.017577	0.000000	0.159965	0.000807	20.3
166	-1.017035	0.000000	0.159965	0.000988	20.1
167	-1.017396	0.000000	0.159965	0.000979	20.3
168	-1.016985	0.000000	0.159965	0.001073	20.1
169	-1.016329	0.000000	0.159965	0.001107	20.1
170	-1.017147	0.000000	0.159965	0.000980	20.5
171	-1.017826	0.000000	0.159965	0.001031	20.1
172	-1.017468	0.000000	0.159965	0.001164	20.2
173	-1.017080	0.000000	0.159965	0.001425	20.4
174	-1.017588	0.000000	0.159965	0.001197	20.3
175	-1.017083	0.000000	0.159965	0.000786	20.1
176	-1.017360	0.000000	0.159965	0.001393	20.2
177	-1.017086	0.000000	0.159965	0.000968	20.5
178	-1.016775	0.000000	0.159965	0.001143	20.2
179	-1.017549	0.000000	0.159965	0.000836	20.4
180	-1.017072	0.000000	0.159965	0.001190	20.7
181	-1.017143	0.000000	0.159965	0.000997	20.6
182	-1.017433	0.000000	0.159965	0.001133	20.2
183	-1.017442	0.000000	0.159965	0.001063	20.2
184	-1.017619	0.000000	0.159965	0.001140	20.6
185	-1.017180	0.000000	0.159965	0.001305	20.1
186	-1.017539	0.000000	0.159965	0.000795	20.3
187	-1.016890	0.000000	0.159965	0.001357	20.2
188	-1.017031	0.000000	0.159965	0.001131	20.4
189	-1.017333	0.000000	0.159965	0.001046	20.3
190	-1.017175	0.000000	0.159965	0.001251	20.1
191	-1.017168	0.000000	0.159965	0.001050	20.7
192	-1.016799	0.000000	0.159965	0.000929	20.4
193	-1.017572	0.000000	0.159965	0.001147	20.3
194	-1.017152	0.000000	0.159965	0.001004	20.6
195	-1.017428	0.000000	0.159965	0.001108	20.0
196	-1.017535	0.000000	0.159965	0.001194	20.4
197	-1.017384	0.000000	0.159965	0.000965	20.3
198	-1.017436	0.000000	0.159965	0.001345	20.5
199	-1.017507	0.000000	0.159965	0.000807	20.2
200	-1.017392	0.000000	0.159965	0.001052	20.2
201	-1.017248	0.000000	0.159965	0.001078	20.6
202	-1.017505	0.000000	0.159965	0.001063	20.2
203	-1.016975	0.000000	0.159965	0.000970	20.3
204	-1.016890	0.000000	0.159965	0.000816	20.2
205	-1.017695	0.000000	0.159965	0.000735	20.3
206	-1.017095	0.000000	0.159965	0.001101	20.2
207	-1.017685	0.000000	0.159965	0.001161	20.5
208	-1.017350	0.000000	0.159965	0.000835	20.2
209	-1.017042	0.000000	0.159965	0.001003	20.2
210	-1.017119	0.000000	0.159965	0.001132	20.3
211	-1.017566	0.000000	0.159965	0.001383	20.3
212	-1.017179	0.000000	0.159965	0.001144	20.2
213	-1.017419	0.000000	0.159965	0.001154	20.3
214	-1.017276	0.000000	0.159965	0.001245	20.3
215	-1.017449	0.000000	0.159965	0.001063	20.3
216	-1.017717	0.000000	0.159965	0.001277	20.6
217	-1.017675	0.000000	0.159965	0.001307	20.6
218	-1.017015	0.000000	0.159965	0.000796	20.4
219	-1.017791	0.000000	0.159965	0.001179	20.4
220	-1.017352	0.000000	0.159965	0.001171	20.1
221	-1.017516	0.000000	0.159965	0.001314	20.1
222	-1.017562	0.000000	0.159965	0.000920	20.1
223	-1.017168	0.000000	0.159965	0.000669	20.1
224	-1.017609	0.000000	0.159965	0.000988	20.2
225	-1.017732	0.000000	0.159965	0.001006	20.6
226	-1.017112	0.000000	0.159965	0.001110	20.5
227	-1.018151	0.000000	0.159965	0.000987	20.3
228	-1.017156	0.000000	0.159965	0.000819	20.2
229	-1.017363	0.000000	0.159965	0.000728	20.3
230	-1.017879	0.000000	0.159965	0.000964	20.5
231	-1.017196	0.000000	0.159965	0.000954	20.1
232	-1.017149	0.000000	0.159965	0.001236	20.0
233	-1.017805	0.000000	0.159965	0.000941	20.1
234	-1.017893	0.000000	0.159965	0.001150	20.6
235	-1.017587	0.000000	0.159965	0.001304	20.1
236	-1.017563	0.000000	0.159965	0.000964	20.3
237	-1.017280	0.000000	0.159965	0.001353	20.1
238	-1.017389	0.000000	0.159965	0.001359	20.6
239	-1.018207	0.000000	0.159965	0.001170	20.2
240	-1.017313	0.000000	0.159965	0.000926	20.3
