1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.004742	0.000000	0.159965	0.000402	89.6
1	-1.005035	0.000000	0.159965	0.000216	34.6
2	-1.005122	0.000000	0.159965	0.000401	35.6
3	-1.005064	0.000000	0.159965	0.000672	36.0
4	-1.005347	0.000000	0.159965	0.000367	34.6
5	-1.005166	0.000000	0.159965	0.000437	35.3
6	-1.005055	0.000000	0.159965	0.000238	35.5
7	-1.004832	0.000000	0.159965	0.000308	35.0
8	-1.004762	0.000000	0.159965	0.000275	34.6
9	-1.005347	0.000000	0.159965	0.000537	33.2
10	-1.005123	0.000000	0.159965	0.000695	32.8
11	-1.005199	0.000000	0.159965	0.000295	32.6
12	-1.004860	0.000000	0.159965	0.000288	32.3
13	-1.005241	0.000000	0.159965	0.000209	32.4
14	-1.004732	0.000000	0.159965	0.000221	32.6
15	-1.004541	0.000000	0.159965	0.000579	32.3
16	-1.005230	0.000000	0.159965	0.000247	32.2
17	-1.004809	0.000000	0.159965	0.000355	32.3
18	-1.004919	0.000000	0.159965	0.000322	32.6
19	-1.005447	0.000000	0.159965	0.000395	32.5
20	-1.004834	0.000000	0.159965	0.000556	32.3
21	-1.005019	0.000000	0.159965	0.000467	32.4
22	-1.005021	0.000000	0.159965	0.000406	32.6
23	-1.005013	0.000000	0.159965	0.000243	32.9
24	-1.005060	0.000000	0.159965	0.000306	32.9
25	-1.005049	0.000000	0.159965	0.000307	32.9
26	-1.005364	0.000000	0.159965	0.000478	32.5
27	-1.005030	0.000000	0.159965	0.000383	32.2
28	-1.004863	0.000000	0.159965	0.000163	32.4
29	-1.005050	0.000000	0.159965	0.000493	32.4
30	-1.005113	0.000000	0.159965	0.000472	32.3
31	-1.005005	0.999934	0.155547	0.000357	32.3
32	-1.005133	0.199983	0.159055	0.000358	32.4
33	-1.004984	0.000000	0.159965	0.000256	32.5
34	-1.004882	0.000000	0.159965	0.000795	32.4
35	-1.004957	0.000000	0.159965	0.000405	32.2
36	-1.005024	0.000000	0.159965	0.000247	32.4
37	-1.005325	0.000000	0.159965	0.000672	32.7
38	-1.004895	0.000000	0.159965	0.000261	32.4
39	-1.004889	0.979351	0.155635	0.000244	32.2
40	-1.005148	0.324150	0.158496	0.000256	32.2
41	-1.005240	0.000000	0.159965	0.000589	32.5
42	-1.005042	0.000000	0.159965	0.000612	32.7
43	-1.005286	0.000000	0.159965	0.000328	32.8
44	-1.004933	0.000000	0.159965	0.000310	32.6
