1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.010925	0.000000	0.159965	0.000923	99.6
1	-1.010631	0.000000	0.159965	0.000953	34.6
2	-1.010960	0.000000	0.159965	0.001263	34.3
3	-1.011314	0.000000	0.159965	0.000808	34.1
4	-1.010426	0.000000	0.159965	0.001062	34.8
5	-1.010748	0.000000	0.159965	0.000978	34.2
6	-1.010817	0.000000	0.159965	0.000852	33.7
7	-1.011265	0.000000	0.159965	0.000996	33.7
8	-1.011111	0.000000	0.159965	0.001091	32.9
9	-1.011252	0.000000	0.159965	0.001074	32.0
10	-1.010651	0.000000	0.159965	0.000950	32.1
11	-1.010561	0.000000	0.159965	0.000942	32.2
12	-1.011269	0.000000	0.159965	0.000969	31.7
13	-1.011295	0.000000	0.159965	0.001008	31.5
14	-1.011100	0.000000	0.159965	0.001299	31.7
15	-1.010998	0.000000	0.159965	0.000962	31.6
16	-1.010878	0.000000	0.159965	0.000891	31.8
17	-1.010951	0.000000	0.159965	0.000923	31.9
18	-1.010639	0.000000	0.159965	0.001017	31.5
19	-1.010747	0.000000	0.159965	0.000837	32.4
20	-1.010764	0.000000	0.159965	0.001013	32.5
21	-1.011253	0.000000	0.159965	0.000742	32.0
22	-1.011664	0.000000	0.159965	0.000647	32.0
23	-1.011065	0.000000	0.159965	0.000957	32.3
24	-1.011104	0.000000	0.159965	0.000904	31.9
25	-1.011279	0.000000	0.159965	0.001001	31.6
26	-1.011012	0.000000	0.159965	0.000818	31.6
27	-1.010982	0.000000	0.159965	0.000990	31.9
28	-1.011162	0.000000	0.159965	0.001208	31.7
29	-1.010950	0.000000	0.159965	0.000942	31.6
30	-1.011232	0.000000	0.159965	0.001176	31.5
31	-1.010513	0.000000	0.159965	0.000860	31.5
32	-1.011127	0.000000	0.159965	0.001203	31.8
33	-1.011194	0.000000	0.159965	0.001138	31.8
34	-1.010864	0.000000	0.159965	0.001269	31.7
35	-1.011334	0.000000	0.159965	0.001248	32.2
36	-1.010718	0.000000	0.159965	0.000898	31.9
37	-1.011262	0.000000	0.159965	0.000768	31.6
38	-1.010997	0.000000	0.159965	0.000830	31.7
39	-1.011254	0.000000	0.159965	0.001060	31.7
40	-1.011013	0.000000	0.159965	0.000959	31.6
41	-1.011143	0.000000	0.159965	0.000689	31.6
42	-1.010333	0.000000	0.159965	0.000951	31.6
43	-1.011007	0.000000	0.159965	0.000851	31.9
44	-1.011031	0.000000	0.159965	0.001101	31.7
45	-1.011186	0.000000	0.159965	0.000912	31.6
46	-1.011015	0.000000	0.159965	0.000833	31.7
47	-1.011129	0.000000	0.159965	0.000804	31.8
48	-1.011163	0.000000	0.159965	0.000795	31.7
49	-1.010701	0.000000	0.159965	0.000931	32.0
50	-1.010797	0.000000	0.159965	0.000823	32.0
51	-1.011421	0.000000	0.159965	0.000835	32.7
52	-1.010927	0.000000	0.159965	0.001365	32.1
53	-1.011031	0.000000	0.159965	0.001012	31.8
54	-1.010867	0.000000	0.159965	0.001200	31.8
55	-1.010724	0.000000	0.159965	0.000785	31.7
56	-1.010526	0.000000	0.159965	0.000975	31.7
57	-1.010969	0.000000	0.159965	0.001004	31.6
58	-1.011395	0.000000	0.159965	0.000883	31.6
59	-1.010743	0.000000	0.159965	0.000942	31.9
60	-1.011014	0.000000	0.159965	0.000666	31.7
61	-1.011384	0.000000	0.159965	0.000975	31.5
62	-1.010829	0.000000	0.159965	0.001047	31.6
63	-1.011262	0.000000	0.159965	0.001050	31.5
64	-1.011034	0.000000	0.159965	0.000754	31.9
65	-1.011246	0.000000	0.159965	0.000956	32.0
66	-1.010570	0.000000	0.159965	0.000886	31.7
67	-1.011250	0.000000	0.159965	0.001126	32.0
68	-1.011411	0.000000	0.159965	0.001152	32.0
69	-1.011063	0.000000	0.159965	0.001128	31.6
70	-1.010845	0.000000	0.159965	0.000829	31.7
71	-1.011156	0.000000	0.159965	0.000871	31.6
72	-1.011403	0.000000	0.159965	0.000702	31.8
73	-1.010773	0.000000	0.159965	0.001109	31.7
74	-1.010561	0.000000	0.159965	0.000902	31.8
75	-1.011253	0.000000	0.159965	0.000845	32.3
76	-1.011034	0.000000	0.159965	0.000865	32.1
77	-1.010963	0.000000	0.159965	0.000987	31.8
78	-1.011374	0.000000	0.159965	0.000854	31.6
79	-1.010639	0.000000	0.159965	0.000843	31.5
80	-1.011020	0.000000	0.159965	0.000985	31.5
81	-1.011159	0.000000	0.159965	0.001000	31.7
82	-1.010838	0.000000	0.159965	0.000918	32.1
83	-1.011059	0.000000	0.159965	0.000913	32.3
84	-1.011037	0.000000	0.159965	0.000883	32.2
85	-1.010566	0.000000	0.159965	0.000954	31.9
86	-1.010982	0.000000	0.159965	0.000928	31.7
87	-1.010950	0.000000	0.159965	0.000805	31.6
88	-1.011161	0.000000	0.159965	0.001031	31.6
89	-1.010932	0.000000	0.159965	0.000874	31.5
90	-1.010949	0.000000	0.159965	0.000857	31.5
