1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.032675	0.000000	0.159965	0.003235	546.5
1	-0.030880	0.000000	0.159965	0.003131	3.6
2	-0.029812	1.000000	0.155547	0.002059	3.5
3	-0.031934	0.200000	0.159054	0.002798	3.6
4	-0.033423	0.000000	0.159965	0.004114	3.9
5	-0.029800	0.000000	0.159965	0.003618	3.9
6	-0.031959	0.000000	0.159965	0.002697	4.3
7	-0.030823	1.000000	0.155547	0.006502	4.4
8	-0.034091	2.000000	0.151440	0.003276	4.9
9	-0.030478	1.200000	0.154702	0.004773	4.9
10	-0.033780	0.400000	0.158158	0.003060	5.7
11	-0.029928	0.000000	0.159965	0.004370	5.9
12	-0.030338	0.000000	0.159965	0.004748	5.7
13	-0.029403	0.000000	0.159965	0.006601	5.8
14	-0.030973	1.000000	0.155547	0.006211	5.8
15	-0.031266	2.000000	0.151440	0.004114	5.8
16	-0.030358	1.200000	0.154702	0.003655	5.9
17	-0.035469	0.400000	0.158158	0.003825	6.0
18	-0.033613	0.000000	0.159965	0.004848	5.8
19	-0.030196	0.000000	0.159965	0.004067	5.1
20	-0.031237	0.000000	0.159965	0.007738	5.5
21	-0.031622	0.000000	0.159965	0.002957	6.3
22	-0.032365	0.000000	0.159965	0.002197	5.7
23	-0.032231	0.000000	0.159965	0.002747	5.2
24	-0.032227	0.000000	0.159965	0.002097	5.8
25	-0.032579	0.000000	0.159965	0.002990	5.9
26	-0.029637	0.000000	0.159965	0.002709	6.0
27	-0.030796	0.000000	0.159965	0.003748	5.3
28	-0.031242	0.000000	0.159965	0.003790	5.3
29	-0.031102	0.000000	0.159965	0.003605	5.7
30	-0.033061	0.000000	0.159965	0.005792	4.8
31	-0.029675	0.000000	0.159965	0.006002	6.0
32	-0.032325	0.000000	0.159965	0.002829	6.0
33	-0.030719	0.000000	0.159965	0.002694	4.8
34	-0.032274	0.000000	0.159965	0.005134	4.9
35	-0.031677	0.000000	0.159965	0.003112	5.9
36	-0.028528	1.000000	0.155547	0.002809	5.7
37	-0.032731	0.200000	0.159054	0.006876	6.2
38	-0.030505	0.000000	0.159965	0.004941	5.4
39	-0.030855	0.000000	0.159965	0.002887	5.1
40	-0.030793	0.000000	0.159965	0.002997	5.9
41	-0.031371	0.000000	0.159965	0.001815	4.9
42	-0.029943	0.000000	0.159965	0.004430	5.0
43	-0.031487	0.000000	0.159965	0.003756	5.2
44	-0.029568	1.000000	0.155547	0.005123	5.8
45	-0.030457	0.200000	0.159054	0.003251	5.9
46	-0.030202	1.200000	0.154702	0.004763	5.5
47	-0.031063	0.400000	0.158158	0.003114	5.4
48	-0.028216	0.000000	0.159965	0.002260	5.2
49	-0.029777	0.000000	0.159965	0.003497	4.9
50	-0.029578	0.000000	0.159965	0.003369	5.9
51	-0.030873	0.000000	0.159965	0.002241	5.8
52	-0.030599	0.000000	0.159965	0.001948	5.8
53	-0.032480	0.000000	0.159965	0.002043	5.6
54	-0.034235	0.000000	0.159965	0.004887	5.8
55	-0.030532	0.000000	0.159965	0.003831	5.6
56	-0.030141	0.000000	0.159965	0.004371	5.6
57	-0.034585	1.000000	0.155547	0.003636	5.9
58	-0.030999	2.000000	0.151440	0.004201	5.8
59	-0.033782	1.200000	0.154702	0.004249	5.3
60	-0.033316	0.400000	0.158158	0.004717	5.8
61	-0.033412	0.000000	0.159965	0.005418	5.9
62	-0.032634	0.000000	0.159965	0.002406	5.3
63	-0.032476	0.000000	0.159965	0.003587	5.7
64	-0.030572	0.000000	0.159965	0.003480	6.0
65	-0.031073	0.000000	0.159965	0.004324	5.7
