1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.036473	0.000000	0.159965	0.002228	8.3
1	-0.039814	0.000000	0.159965	0.002306	2.5
2	-0.034829	1.000000	0.155547	0.001813	3.1
3	-0.034298	0.200000	0.159054	0.002722	3.2
4	-0.039497	0.000000	0.159965	0.003066	3.0
5	-0.037455	0.000000	0.159965	0.001614	2.3
6	-0.038727	0.000000	0.159965	0.002594	2.3
7	-0.040789	0.000000	0.159965	0.002862	2.6
8	-0.041203	0.000000	0.159965	0.003430	3.3
9	-0.039899	0.000000	0.159965	0.003311	3.4
10	-0.038061	0.000000	0.159965	0.004016	2.5
11	-0.039765	0.000000	0.159965	0.002385	2.7
12	-0.036721	0.000000	0.159965	0.003810	3.3
13	-0.037545	0.000000	0.159965	0.002556	3.0
14	-0.035250	0.000000	0.159965	0.002696	2.4
15	-0.036893	0.000000	0.159965	0.001561	2.0
16	-0.036914	1.000000	0.155547	0.001435	2.1
17	-0.039706	0.499393	0.157717	0.002099	2.2
18	-0.037532	0.000000	0.159965	0.002069	2.1
19	-0.037863	0.000000	0.159965	0.001958	2.6
20	-0.037454	0.000000	0.159965	0.003285	3.1
21	-0.036429	0.000000	0.159965	0.002746	3.9
22	-0.037041	0.000000	0.159965	0.001556	2.6
23	-0.036732	0.000000	0.159965	0.001477	2.3
24	-0.036773	0.000000	0.159965	0.002265	2.3
25	-0.038489	0.000000	0.159965	0.002303	2.4
26	-0.039808	0.000000	0.159965	0.004063	2.6
27	-0.041321	0.000000	0.159965	0.002006	3.1
28	-0.040547	0.000000	0.159965	0.005417	2.9
29	-0.036770	0.000000	0.159965	0.003108	2.5
30	-0.038766	0.000000	0.159965	0.003440	2.9
31	-0.039360	0.000000	0.159965	0.003173	3.2
32	-0.034921	0.000000	0.159965	0.003881	2.4
33	-0.038440	0.000000	0.159965	0.002857	3.3
34	-0.038696	0.000000	0.159965	0.002726	2.6
35	-0.036130	0.000000	0.159965	0.004496	2.6
36	-0.038732	0.000000	0.159965	0.004286	3.3
37	-0.039996	0.000000	0.159965	0.002163	2.3
