1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.015805	0.000000	0.159965	0.001718	89.4
1	-0.020070	0.000000	0.159965	0.003122	5.4
2	-0.018295	1.000000	0.155547	0.004385	5.1
3	-0.016897	2.000000	0.151440	0.002811	5.4
4	-0.017293	1.200000	0.154702	0.001879	5.8
5	-0.017020	0.400000	0.158158	0.003932	6.0
6	-0.017505	0.000000	0.159965	0.005335	6.0
7	-0.019218	0.000000	0.159965	0.002198	5.8
8	-0.015409	1.000000	0.155547	0.002622	5.1
9	-0.016592	0.200000	0.159054	0.002964	5.1
10	-0.017740	0.000000	0.159965	0.002040	5.1
11	-0.017077	0.000000	0.159965	0.000786	5.8
12	-0.017032	0.000000	0.159965	0.001470	6.9
13	-0.019038	0.000000	0.159965	0.002456	6.1
14	-0.019395	0.000000	0.159965	0.001605	5.9
15	-0.015821	0.000000	0.159965	0.002240	5.9
16	-0.017447	1.000000	0.155547	0.003125	5.7
17	-0.015762	0.200000	0.159054	0.001782	6.0
18	-0.015418	1.200000	0.154702	0.003248	5.4
19	-0.015295	0.400000	0.158158	0.002012	5.3
20	-0.016966	0.000000	0.159965	0.003307	6.0
21	-0.018826	0.000000	0.159965	0.002156	5.9
22	-0.016357	0.000000	0.159965	0.003873	5.2
23	-0.016342	0.000000	0.159965	0.003301	5.0
24	-0.015810	0.000000	0.159965	0.002665	4.9
25	-0.017929	0.000000	0.159965	0.001958	4.8
26	-0.017891	1.000000	0.155547	0.002101	5.4
27	-0.017394	2.000000	0.151440	0.001987	5.0
28	-0.017053	1.200000	0.154702	0.003363	5.2
29	-0.019483	0.400000	0.158158	0.002493	5.5
30	-0.019029	0.000000	0.159965	0.002794	5.1
31	-0.017145	0.000000	0.159965	0.002934	5.5
32	-0.014059	0.000000	0.159965	0.002950	5.4
33	-0.017679	0.000000	0.159965	0.002258	4.4
34	-0.018521	1.000000	0.155547	0.002914	5.5
35	-0.016936	0.200000	0.159054	0.001940	5.5
36	-0.018596	0.000000	0.159965	0.001336	5.8
37	-0.017770	0.000000	0.159965	0.007134	5.6
38	-0.015789	0.000000	0.159965	0.002009	5.4
39	-0.015705	1.000000	0.155547	0.002714	5.3
40	-0.017193	2.000000	0.151440	0.002558	4.5
41	-0.018545	3.000000	0.147609	0.001991	4.6
42	-0.017869	2.200000	0.150652	0.002948	4.9
43	-0.018575	1.400000	0.153869	0.002194	5.8
44	-0.018475	2.400000	0.149876	0.000645	5.3
45	-0.019698	1.600000	0.153048	0.002712	5.2
46	-0.017986	2.600000	0.149110	0.002333	4.9
47	-0.016971	1.800000	0.152238	0.001560	5.9
48	-0.016724	1.000000	0.155547	0.003192	5.4
49	-0.020283	2.000000	0.151440	0.002806	5.5
50	-0.018547	1.200000	0.154702	0.002108	5.5
51	-0.018484	0.400000	0.158158	0.002914	5.2
52	-0.016317	0.000000	0.159965	0.001193	5.0
53	-0.018003	0.000000	0.159965	0.002735	5.5
54	-0.017205	1.000000	0.155547	0.002168	5.8
55	-0.018585	0.200000	0.159054	0.004198	5.1
56	-0.016537	0.000000	0.159965	0.002755	5.3
57	-0.018137	1.000000	0.155547	0.003625	4.5
58	-0.017056	0.200000	0.159054	0.001511	5.6
59	-0.016781	0.000000	0.159965	0.003102	5.4
60	-0.021078	0.000000	0.159965	0.002632	5.1
61	-0.014718	0.000000	0.159965	0.001782	4.7
62	-0.019573	1.000000	0.155547	0.007056	4.6
63	-0.015516	2.000000	0.151440	0.002517	6.0
64	-0.019376	3.000000	0.147609	0.003020	4.7
65	-0.017499	4.000000	0.144026	0.001776	5.4
66	-0.016889	3.200000	0.146873	0.002762	4.8
67	-0.019264	4.200000	0.143337	0.003995	4.5
68	-0.018243	3.400000	0.146147	0.004235	4.7
69	-0.017290	2.600000	0.149110	0.002201	4.2
70	-0.017256	1.800000	0.152238	0.001649	4.3
71	-0.019112	1.000000	0.155547	0.001877	4.3
72	-0.015648	0.200000	0.159054	0.001708	4.5
73	-0.017005	1.200000	0.154702	0.002191	5.3
74	-0.015629	2.200000	0.150652	0.002358	4.4
75	-0.019491	3.200000	0.146873	0.002722	4.8
76	-0.017304	4.200000	0.143337	0.002795	5.6
77	-0.017283	3.400000	0.146147	0.002495	5.7
78	-0.017500	2.600000	0.149110	0.006377	5.3
79	-0.016017	1.800000	0.152238	0.001128	5.8
80	-0.015745	2.800000	0.148354	0.003206	5.4
81	-0.014499	2.000000	0.151440	0.004021	5.7
82	-0.017359	3.000000	0.147609	0.002082	5.3
83	-0.016593	2.200000	0.150652	0.002338	5.0
84	-0.017612	1.400000	0.153869	0.001950	4.9
85	-0.016048	0.600000	0.157275	0.002280	4.8
86	-0.019168	1.600000	0.153048	0.004822	5.7
87	-0.014681	0.800000	0.156404	0.001590	5.5
88	-0.016066	1.800000	0.152238	0.001170	5.3
89	-0.018294	1.000000	0.155547	0.002011	5.5
90	-0.017429	0.200000	0.159054	0.002926	5.6
91	-0.016299	0.000000	0.159965	0.004515	5.8
92	-0.018159	1.000000	0.155547	0.003259	5.4
93	-0.016105	0.200000	0.159054	0.002169	5.8
94	-0.020557	0.000000	0.159965	0.002910	5.6
95	-0.017830	0.000000	0.159965	0.003522	5.2
96	-0.017123	0.000000	0.159965	0.002543	5.0
97	-0.016084	0.000000	0.159965	0.002178	4.9
98	-0.018329	0.000000	0.159965	0.000573	5.8
99	-0.016231	0.000000	0.159965	0.001388	5.3
100	-0.018813	0.000000	0.159965	0.002621	4.7
101	-0.018174	0.000000	0.159965	0.003375	5.2
102	-0.015979	0.000000	0.159965	0.001775	5.6
103	-0.015663	1.000000	0.155547	0.002548	5.5
104	-0.018421	2.000000	0.151440	0.001715	5.1
105	-0.015819	3.000000	0.147609	0.001255	5.5
106	-0.016325	4.000000	0.144026	0.001305	5.3
107	-0.015200	3.200000	0.146873	0.003526	5.8
108	-0.017333	2.400000	0.149876	0.002945	5.5
109	-0.018555	1.600000	0.153048	0.003247	5.7
110	-0.018717	0.800000	0.156404	0.001585	5.8
111	-0.016076	0.000000	0.159965	0.002721	5.8
112	-0.017311	0.000000	0.159965	0.002695	5.8
113	-0.016544	0.000000	0.159965	0.003551	5.9
114	-0.018660	0.000000	0.159965	0.002159	5.8
115	-0.017507	0.000000	0.159965	0.003955	5.7
116	-0.020017	0.000000	0.159965	0.003123	5.9
117	-0.017098	0.000000	0.159965	0.000818	5.7
118	-0.017492	0.000000	0.159965	0.002089	5.7
119	-0.018027	0.000000	0.159965	0.002148	5.8
120	-0.018702	0.000000	0.159965	0.002328	5.8
121	-0.017351	0.000000	0.159965	0.001714	5.6
122	-0.016651	0.000000	0.159965	0.002193	6.1
123	-0.017628	0.000000	0.159965	0.002827	6.1
