1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.063179	0.000000	0.159965	0.006930	18.1
1	-0.066277	0.000000	0.159965	0.008386	3.9
2	-0.065609	0.000000	0.159965	0.005538	4.1
3	-0.067295	0.000000	0.159965	0.004601	3.5
4	-0.063705	0.000000	0.159965	0.005125	3.9
5	-0.068911	0.000000	0.159965	0.004089	3.7
6	-0.064644	0.000000	0.159965	0.008182	4.0
7	-0.063648	0.000000	0.159965	0.004592	4.2
8	-0.062065	0.000000	0.159965	0.003927	3.9
9	-0.066300	0.000000	0.159965	0.008454	3.0
10	-0.064550	0.000000	0.159965	0.007236	3.0
11	-0.066701	0.000000	0.159965	0.004093	3.0
12	-0.060590	0.000000	0.159965	0.003994	3.5
13	-0.057651	0.000000	0.159965	0.007638	2.7
14	-0.064624	1.000000	0.155547	0.007999	2.7
15	-0.058258	0.200000	0.159054	0.004531	2.8
16	-0.062908	0.000000	0.159965	0.004414	2.9
17	-0.065687	0.000000	0.159965	0.004601	3.3
18	-0.064564	0.000000	0.159965	0.006348	3.6
19	-0.068315	0.000000	0.159965	0.008160	4.0
20	-0.063965	0.000000	0.159965	0.007742	4.1
21	-0.068940	0.000000	0.159965	0.005685	3.8
22	-0.065064	0.000000	0.159965	0.005344	2.9
23	-0.065434	0.000000	0.159965	0.003483	4.0
24	-0.061312	0.000000	0.159965	0.005191	3.8
25	-0.064334	0.000000	0.159965	0.004567	3.9
26	-0.067361	0.000000	0.159965	0.005293	3.0
27	-0.068535	0.000000	0.159965	0.006958	3.3
28	-0.063364	0.000000	0.159965	0.004643	3.0
29	-0.066422	0.000000	0.159965	0.004947	3.7
30	-0.066611	0.000000	0.159965	0.004086	2.6
31	-0.062737	0.000000	0.159965	0.005437	2.9
32	-0.068414	0.000000	0.159965	0.009570	2.9
33	-0.065103	0.000000	0.159965	0.009411	3.8
34	-0.063233	0.000000	0.159965	0.003603	3.3
35	-0.065421	0.000000	0.159965	0.006906	3.9
36	-0.063760	0.000000	0.159965	0.005977	3.0
37	-0.067682	0.000000	0.159965	0.003460	3.7
38	-0.065080	0.000000	0.159965	0.002626	3.1
39	-0.063845	0.000000	0.159965	0.004226	3.6
40	-0.063160	0.000000	0.159965	0.005130	3.3
41	-0.064147	0.000000	0.159965	0.007959	2.9
42	-0.067597	0.000000	0.159965	0.004775	2.9
43	-0.063556	0.000000	0.159965	0.004673	3.7
44	-0.068358	0.000000	0.159965	0.005336	3.2
45	-0.063374	0.000000	0.159965	0.006048	2.9
46	-0.063104	0.000000	0.159965	0.009938	3.0
47	-0.062083	0.000000	0.159965	0.006600	2.6
48	-0.066593	0.000000	0.159965	0.004621	3.4
49	-0.067962	0.000000	0.159965	0.004075	2.4
50	-0.065134	0.000000	0.159965	0.006755	2.5
51	-0.062672	0.000000	0.159965	0.005228	3.2
52	-0.062167	0.000000	0.159965	0.007076	3.3
53	-0.060322	0.000000	0.159965	0.006179	3.1
54	-0.065817	0.000000	0.159965	0.003345	2.6
55	-0.069292	0.000000	0.159965	0.007174	4.0
56	-0.066889	0.000000	0.159965	0.004561	2.4
57	-0.071467	0.000000	0.159965	0.004721	2.6
58	-0.067266	1.000000	0.155547	0.006642	2.5
59	-0.066603	0.200000	0.159054	0.005160	2.6
60	-0.067214	0.000000	0.159965	0.007714	2.9
61	-0.064907	0.000000	0.159965	0.006718	3.5
62	-0.063082	0.000000	0.159965	0.005564	3.0
63	-0.061662	0.000000	0.159965	0.007146	2.4
64	-0.064984	0.000000	0.159965	0.009419	2.3
65	-0.064306	0.000000	0.159965	0.007634	3.2
66	-0.065245	0.000000	0.159965	0.006424	2.9
67	-0.064692	0.000000	0.159965	0.005713	2.7
68	-0.067105	0.000000	0.159965	0.006985	2.7
69	-0.062651	0.000000	0.159965	0.004223	2.6
70	-0.065251	0.000000	0.159965	0.005673	3.2
71	-0.066596	0.000000	0.159965	0.003869	2.5
72	-0.063424	0.000000	0.159965	0.003998	2.9
73	-0.064805	0.000000	0.159965	0.004707	3.0
74	-0.067460	0.000000	0.159965	0.005599	2.6
75	-0.064585	0.000000	0.159965	0.006066	2.9
76	-0.067367	0.000000	0.159965	0.005987	3.8
77	-0.064903	0.000000	0.159965	0.006455	2.9
78	-0.066785	0.000000	0.159965	0.003851	2.9
79	-0.062718	0.000000	0.159965	0.006540	3.4
80	-0.061707	0.000000	0.159965	0.003814	2.3
81	-0.066936	0.000000	0.159965	0.009733	3.3
82	-0.063284	0.000000	0.159965	0.002431	3.5
83	-0.062379	0.000000	0.159965	0.003386	3.1
84	-0.067327	0.000000	0.159965	0.006883	3.0
85	-0.063475	0.000000	0.159965	0.005729	3.1
86	-0.062862	0.000000	0.159965	0.005037	3.2
87	-0.068763	0.000000	0.159965	0.004046	3.2
88	-0.068692	0.000000	0.159965	0.003509	2.8
89	-0.068442	0.000000	0.159965	0.003540	2.7
90	-0.063302	0.000000	0.159965	0.004409	3.0
91	-0.066332	0.000000	0.159965	0.003766	3.2
92	-0.066347	0.000000	0.159965	0.007230	2.8
93	-0.066170	0.000000	0.159965	0.005788	3.0
94	-0.065380	0.000000	0.159965	0.005531	3.4
95	-0.065932	0.000000	0.159965	0.005851	2.6
96	-0.070819	0.000000	0.159965	0.008631	3.5
97	-0.065697	0.000000	0.159965	0.007067	2.9
98	-0.064297	0.000000	0.159965	0.003928	2.9
99	-0.066169	0.000000	0.159965	0.006709	3.5
100	-0.064075	0.000000	0.159965	0.007265	3.4
101	-0.067100	0.000000	0.159965	0.006197	4.4
102	-0.063056	0.000000	0.159965	0.003626	3.4
103	-0.066252	0.000000	0.159965	0.006708	2.6
104	-0.063573	0.000000	0.159965	0.005025	2.8
105	-0.063522	0.000000	0.159965	0.004153	2.5
106	-0.064157	0.000000	0.159965	0.005052	2.6
107	-0.060230	0.000000	0.159965	0.005594	2.9
108	-0.064611	0.000000	0.159965	0.006674	2.5
109	-0.063664	0.000000	0.159965	0.003721	2.5
110	-0.058595	0.000000	0.159965	0.008103	2.8
111	-0.065224	0.000000	0.159965	0.010411	3.1
112	-0.065880	0.000000	0.159965	0.004557	3.4
113	-0.068528	0.000000	0.159965	0.005656	3.9
114	-0.063969	0.000000	0.159965	0.002435	3.2
115	-0.066591	0.000000	0.159965	0.003573	2.8
116	-0.068400	0.000000	0.159965	0.004844	3.4
117	-0.067489	0.000000	0.159965	0.009621	3.0
118	-0.065291	0.000000	0.159965	0.005222	2.6
