1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-1.017371	0.000000	0.159965	0.001368	27.6
1	-1.017825	0.000000	0.159965	0.001471	22.1
2	-1.017140	0.000000	0.159965	0.001547	22.0
3	-1.017616	0.000000	0.159965	0.001539	22.0
4	-1.016594	0.000000	0.159965	0.001431	21.9
5	-1.017706	0.000000	0.159965	0.001710	21.6
6	-1.017307	0.000000	0.159965	0.001741	21.8
7	-1.016805	0.000000	0.159965	0.001259	22.6
8	-1.017229	0.000000	0.159965	0.001636	21.8
9	-1.017278	0.000000	0.159965	0.001616	21.5
10	-1.017283	0.000000	0.159965	0.001413	21.3
11	-1.017059	0.000000	0.159965	0.001625	21.6
12	-1.017141	0.000000	0.159965	0.001578	21.6
13	-1.017644	0.000000	0.159965	0.001600	21.3
14	-1.018165	0.000000	0.159965	0.001311	20.9
15	-1.016797	0.000000	0.159965	0.001728	21.0
16	-1.017904	0.000000	0.159965	0.001341	21.0
17	-1.017177	0.000000	0.159965	0.001630	21.1
18	-1.017213	0.000000	0.159965	0.001785	20.9
19	-1.017287	0.000000	0.159965	0.001348	21.0
20	-1.017432	0.000000	0.159965	0.001804	21.2
21	-1.017128	0.000000	0.159965	0.001829	20.9
22	-1.017749	0.000000	0.159965	0.001477	21.0
23	-1.017462	0.000000	0.159965	0.001452	20.9
24	-1.016856	0.000000	0.159965	0.001530	21.0
25	-1.017333	0.000000	0.159965	0.001862	21.1
26	-1.017250	0.000000	0.159965	0.001134	20.9
27	-1.017323	0.000000	0.159965	0.001336	21.0
28	-1.017073	0.000000	0.159965	0.001656	21.0
29	-1.017217	0.000000	0.159965	0.001668	20.8
30	-1.017356	0.000000	0.159965	0.001570	21.0
31	-1.017280	0.000000	0.159965	0.001528	21.1
32	-1.017339	0.000000	0.159965	0.001812	21.0
33	-1.018056	0.000000	0.159965	0.001628	20.9
34	-1.017164	0.000000	0.159965	0.001798	21.2
35	-1.017693	0.000000	0.159965	0.001838	21.0
36	-1.018245	0.000000	0.159965	0.001423	21.0
37	-1.017701	0.000000	0.159965	0.001527	21.3
38	-1.017560	0.000000	0.159965	0.001581	21.0
39	-1.017411	0.000000	0.159965	0.001531	21.0
40	-1.017416	0.000000	0.159965	0.001408	21.1
41	-1.017602	0.000000	0.159965	0.001602	21.1
42	-1.017464	0.000000	0.159965	0.001615	20.9
43	-1.017290	0.000000	0.159965	0.001490	21.0
44	-1.017208	0.000000	0.159965	0.001303	21.0
45	-1.017111	0.000000	0.159965	0.001027	21.0
46	-1.017033	0.000000	0.159965	0.001416	21.1
47	-1.017161	0.000000	0.159965	0.001123	20.9
48	-1.017537	0.000000	0.159965	0.001777	20.9
49	-1.017273	0.000000	0.159965	0.001254	21.2
50	-1.017601	0.000000	0.159965	0.001299	21.1
51	-1.017428	0.000000	0.159965	0.001634	21.0
52	-1.017483	0.000000	0.159965	0.001562	20.9
53	-1.017267	0.000000	0.159965	0.001464	20.9
54	-1.017449	0.000000	0.159965	0.001481	20.9
55	-1.017071	0.000000	0.159965	0.001433	21.0
56	-1.017788	0.000000	0.159965	0.001384	21.1
57	-1.017393	0.000000	0.159965	0.001575	20.9
58	-1.017694	0.000000	0.159965	0.001468	20.9
59	-1.017555	0.000000	0.159965	0.001280	21.3
60	-1.017426	0.000000	0.159965	0.001394	21.1
61	-1.017377	0.000000	0.159965	0.001263	21.3
62	-1.017770	0.000000	0.159965	0.001197	20.9
63	-1.017269	0.000000	0.159965	0.001363	21.0
64	-1.018035	0.000000	0.159965	0.001864	21.0
65	-1.017554	0.000000	0.159965	0.001756	21.1
66	-1.017637	0.000000	0.159965	0.001324	21.1
67	-1.017410	0.000000	0.159965	0.001491	21.1
68	-1.017717	0.000000	0.159965	0.001535	21.0
69	-1.017505	0.000000	0.159965	0.001411	21.0
70	-1.017286	0.000000	0.159965	0.001440	20.9
71	-1.017462	0.000000	0.159965	0.001283	20.9
72	-1.016916	0.000000	0.159965	0.001739	21.0
73	-1.017536	0.000000	0.159965	0.001307	21.2
74	-1.017502	0.000000	0.159965	0.001517	21.0
75	-1.017244	0.000000	0.159965	0.001282	21.0
76	-1.017369	0.000000	0.159965	0.001578	20.9
77	-1.017703	0.000000	0.159965	0.001420	21.0
78	-1.017829	0.000000	0.159965	0.001365	21.1
